hostname,age_16,age_50,age_84,mass_16,mass_50,mass_84,feh_16,feh_50,feh_84,accept_fr,age_err_lo,age_err_hi
WASP-136,3.3612,3.6985,3.8813,1.2196,1.2439,1.341,-0.2838,-0.1898,-0.1306,0.255,0.3373,0.1829
KELT-1,4.6542,5.2562,5.9622,1.1146,1.1586,1.197,-0.0625,0.0561,0.1525,0.392,0.6019,0.706
HD 1397,4.2346,4.3823,4.7828,1.2828,1.3141,1.3425,0.1841,0.2573,0.3291,0.168,0.1476,0.4005
WASP-26,4.6848,5.7791,6.8866,1.0492,1.0911,1.1295,0.0677,0.1736,0.2658,0.5,1.0943,1.1076
TOI-178,0.8305,2.392,6.0671,0.6445,0.6584,0.6688,-0.1924,-0.1486,-0.1079,0.463,1.5614,3.6751
HD 2685,1.8151,2.0894,2.3934,1.3031,1.3407,1.3767,-0.0817,0.0203,0.1218,0.585,0.2743,0.304
TOI-6029,5.126,5.2124,6.6702,1.1932,1.2703,1.2744,0.3454,0.3993,0.4535,0.11,0.0864,1.4578
TOI-2406,0.3108,1.288,4.8329,0.1735,0.179,0.1811,-0.3513,-0.3165,-0.287,0.437,0.9772,3.5449
WASP-93,2.4303,2.7183,2.9848,1.2754,1.3066,1.3414,-0.0412,0.0453,0.1569,0.574,0.288,0.2665
HD 5278,4.9017,5.9044,7.003,0.9816,1.0198,1.0616,-0.2302,-0.1385,-0.033,0.554,1.0026,1.0986
TOI-1472,0.1181,0.5244,1.9664,0.9024,0.9216,0.9296,0.2747,0.3429,0.3925,0.435,0.4063,1.4421
K2-209,5.2913,7.8889,9.3884,0.7461,0.7545,0.7674,0.0326,0.0666,0.0839,0.504,2.5976,1.4995
TOI-261,7.1661,8.2239,9.3343,0.8941,0.9302,0.9619,-0.4191,-0.3192,-0.235,0.513,1.0578,1.1104
HD 6061,1.6688,3.2019,5.5867,0.9595,1.0152,1.0536,-0.1257,-0.0194,0.0625,0.395,1.533,2.3848
TOI-6651,5.4977,5.9582,6.58,1.1424,1.1745,1.1987,0.1566,0.2651,0.3405,0.403,0.4605,0.6217
K2-222,6.3874,7.8746,9.1586,0.8834,0.9146,0.9513,-0.3866,-0.292,-0.2092,0.541,1.4872,1.284
WASP-187,2.8017,3.1534,3.2475,1.3885,1.414,1.5008,-0.0095,0.0622,0.08,0.099,0.3517,0.094
K2-210,3.1739,5.7764,8.5363,0.8532,0.8877,0.9177,-0.0018,0.0716,0.1248,0.432,2.6025,2.7599
TOI-1467,0.1913,0.2069,0.2306,0.4995,0.5015,0.5036,-0.2109,-0.2079,-0.2015,0.598,0.0156,0.0237
TOI-4010,4.6985,6.8291,8.8646,0.8413,0.8559,0.8711,0.3627,0.449,0.4995,0.428,2.1306,2.0354
GJ 3090,0.2102,0.5363,2.6187,0.5222,0.5293,0.534,-0.0321,0.0019,0.0322,0.424,0.3261,2.0824
TOI-1695,0.3211,0.9021,3.5507,0.5321,0.5379,0.5419,0.0527,0.0858,0.12,0.489,0.581,2.6486
TOI-125,2.9854,5.1076,7.8871,0.8413,0.8721,0.8932,0.0184,0.0787,0.116,0.444,2.1222,2.7795
WASP-18,0.1509,0.6265,1.5789,1.2134,1.2704,1.2946,0.0349,0.1471,0.2213,0.365,0.4756,0.9524
WASP-97,3.6728,5.1369,7.2348,0.9909,1.0398,1.0711,0.1567,0.2801,0.3501,0.431,1.4641,2.0978
HIP 8152,2.1701,4.1545,6.4386,0.9248,0.9686,1.0037,-0.0233,0.0748,0.1336,0.403,1.9844,2.2842
TOI-2152,8.489,9.0153,9.7726,1.0531,1.0754,1.1067,0.1833,0.2327,0.3365,0.131,0.5263,0.7573
WASP-76,2.5324,2.808,2.9874,1.3785,1.3981,1.4233,0.2417,0.3251,0.4557,0.493,0.2756,0.1793
HAT-P-60,3.1488,3.7891,4.074,1.2681,1.3219,1.4148,-0.0525,0.0678,0.1474,0.135,0.6403,0.2849
WASP-71,3.3029,3.8484,4.1286,1.2959,1.3433,1.4249,0.1058,0.2091,0.2763,0.145,0.5455,0.2802
HIP 9618,3.7102,5.7948,7.9628,0.9042,0.9424,0.976,-0.0321,0.0492,0.1084,0.445,2.0846,2.168
TOI-262,0.1375,0.7308,3.6876,0.9126,0.9463,0.9627,0.186,0.2655,0.3472,0.345,0.5933,2.9568
WASP-156,3.4876,5.0568,8.2498,0.8388,0.8543,0.8742,0.2746,0.3666,0.4325,0.34,1.5692,3.193
TOI-2421,7.528,7.9781,8.4917,1.0815,1.1062,1.1315,0.1776,0.2586,0.3172,0.204,0.4502,0.5135
WASP-33,0.1206,0.299,0.6235,1.5366,1.5905,1.6163,0.0589,0.1829,0.2315,0.457,0.1785,0.3245
WASP-117,5.5533,6.5721,7.7076,0.9701,1.0101,1.0497,-0.2067,-0.1149,-0.0182,0.544,1.0188,1.1356
HD 15337,5.4499,7.618,9.262,0.8363,0.8511,0.8687,0.0997,0.1402,0.1679,0.494,2.168,1.6441
TOI-1062,0.2962,1.6114,4.6406,0.8975,0.9361,0.9555,0.1428,0.2245,0.2691,0.348,1.3152,3.0292
HD 15906,0.5619,2.902,7.331,0.771,0.8014,0.8208,0.0387,0.1052,0.1515,0.397,2.34,4.4291
TOI-1601,3.2028,3.3899,4.0347,1.3252,1.423,1.4428,0.2407,0.3364,0.4442,0.31,0.1871,0.6448
WASP-99,4.6815,5.0259,5.3973,1.1702,1.1958,1.2181,0.0878,0.1515,0.2079,0.482,0.3444,0.3714
TOI-2443,1.199,3.5148,7.561,0.6418,0.6543,0.6626,-0.2058,-0.1691,-0.1485,0.442,2.3158,4.0462
HD 17156,3.7937,5.2271,6.0306,1.124,1.1659,1.237,0.1011,0.1861,0.2633,0.365,1.4334,0.8035
TOI-4641,1.7345,1.9347,2.1191,1.3649,1.4043,1.4401,-0.1792,-0.0679,0.024,0.578,0.2002,0.1844
HR 858,1.4632,2.1718,2.9895,1.1489,1.1934,1.2309,-0.0472,0.0602,0.1433,0.499,0.7086,0.8176
TOI-1736,9.1882,9.6593,9.9165,1.0178,1.0278,1.0391,0.2164,0.2601,0.2854,0.467,0.4711,0.2573
HD 18599,0.4098,1.8652,5.6764,0.8206,0.855,0.8727,0.0181,0.0868,0.133,0.397,1.4554,3.8113
