hostname,mass_msun,age_gyr,feh,chi2,n_bands,dist_pc,st_met_in,age_flag,chi2_flag,reliable
HIP 65 A,0.7545,0.0487,0.2082,3.9453,10,61.78,0.18,ok,ok,True
WASP-136,1.2455,3.7154,-0.1837,10.4385,10,266.45,-0.18,ok,high,False
KELT-1,1.1091,5.8884,-0.0531,25.4209,10,269.87,0.052,ok,high,False
HATS-34,1.0,0.0316,0.3714,343.0607,10,504.79,0.25,lower_boundary,high,False
WASP-96,0.9727,9.1201,0.2735,93.6882,10,347.29,0.14,ok,high,False
TOI-198,0.3182,0.0365,-0.8367,0.7178,6,23.76,-0.7,ok,ok,True
WASP-44,0.9455,0.0316,0.0776,200.5627,10,358.45,-0.003,lower_boundary,high,False
Gliese 12,0.2364,0.154,-0.3143,0.5376,6,12.16,-0.32,ok,ok,True
WASP-32,0.9727,9.1201,0.0122,51.4912,10,276.28,-0.13,ok,high,False
WASP-158,1.2727,4.5709,0.3388,162.6398,10,530.45,0.24,ok,high,False
HD 1397,1.3,4.4668,0.2408,3.7706,10,79.98,0.29,ok,ok,True
TOI-6016,1.0545,9.3325,0.4041,85.4195,10,359.21,0.28,ok,high,False
WASP-26,1.0818,6.0256,0.1429,2.8847,10,250.37,0.16,ok,ok,True
TOI-260,0.5364,0.0487,-0.6082,0.2248,6,20.2,-0.47,ok,ok,True
Qatar-4,0.8909,0.0316,0.2408,245.203,10,323.46,0.103,lower_boundary,high,False
WASP-20,1.1364,5.7544,-0.151,34.4902,10,338.34,-0.008,ok,high,False
WASP-1,1.0545,8.7096,0.1102,85.7188,10,376.53,0.17,ok,high,False
WASP-45,0.9182,0.0316,0.1102,42.0515,10,213.64,-0.03,lower_boundary,high,False
HATS-30,0.9727,10.0,0.2082,128.8967,10,340.41,0.06,upper_boundary,high,False
TOI-5322,1.0,10.0,0.0776,327.7718,10,472.89,-0.048,upper_boundary,high,False
HATS-49,0.7273,0.0422,0.0776,205.4142,10,320.97,0.208,ok,high,False
HATS-46,0.9182,0.0316,0.0449,342.7605,10,447.0,-0.06,lower_boundary,high,False
Qatar-5,1.0,8.7096,0.502,135.2276,10,370.02,0.377,ok,high,False
TOI-178,0.6455,5.4954,-0.1837,1.0214,10,62.8,-0.23,ok,ok,True
HD 2685,1.3273,2.1878,-0.0204,3.5222,10,196.97,0.02,ok,ok,True
WASP-190,1.2182,4.7863,0.0449,206.5166,10,543.5,-0.02,ok,high,False
TOI-6029,1.3,4.7863,0.3714,151.5367,10,594.12,0.37,ok,high,False
HD 3167,0.8364,10.0,0.0122,1.6856,10,47.24,0.04,upper_boundary,ok,False
TOI-2406,0.1818,1.4791,-0.2816,1.6015,6,55.39,-0.26,ok,ok,True
