hostname,mass_msun,age_gyr,feh,chi2,n_bands,dist_pc,st_met_in,age_flag,chi2_flag,reliable
HIP 65 A,0.7545,0.048,0.2082,3.6958,10,61.78,0.18,ok,ok,True
WASP-136,1.2727,3.6747,-0.0857,10.1678,10,266.45,-0.18,ok,high,False
KELT-1,1.1909,4.7197,0.1755,9.4469,10,269.87,0.052,ok,ok,True
HATS-34,1.0,0.0316,0.3714,342.2901,10,504.79,0.25,lower_boundary,high,False
WASP-96,0.9727,9.1996,0.2735,93.7208,10,347.29,0.14,ok,high,False
TOI-198,0.3455,0.0441,-0.7714,0.7063,6,23.76,-0.7,ok,ok,True
WASP-44,0.9455,0.0316,0.1102,200.5193,10,358.45,-0.003,lower_boundary,high,False
Gliese 12,0.2364,0.1543,-0.3143,0.3213,6,12.16,-0.32,ok,ok,True
WASP-32,0.9455,9.1996,-0.1184,41.4054,10,276.28,-0.13,ok,high,False
WASP-158,1.1091,7.1626,0.1102,127.6695,10,530.45,0.24,ok,high,False
HD 1397,1.3,4.3419,0.1755,2.4784,10,79.98,0.29,ok,ok,True
TOI-6016,1.0545,9.1996,0.4041,56.8291,10,359.21,0.28,ok,high,False
WASP-26,1.1364,4.7197,0.3061,1.9974,10,250.37,0.16,ok,ok,True
TOI-260,0.5364,0.048,-0.6082,0.2206,6,20.2,-0.47,ok,ok,True
Qatar-4,0.8909,0.0316,0.2408,227.0232,10,323.46,0.103,lower_boundary,high,False
WASP-20,1.1636,5.5767,-0.0531,28.4659,10,338.34,-0.008,ok,high,False
WASP-1,1.0273,9.1996,0.0449,70.4758,10,376.53,0.17,ok,high,False
WASP-45,0.9182,0.0316,0.1102,42.018,10,213.64,-0.03,lower_boundary,high,False
HATS-30,0.9727,10.0,0.2082,118.6452,10,340.41,0.06,upper_boundary,high,False
TOI-5322,1.0,10.0,0.0776,327.4282,10,472.89,-0.048,upper_boundary,high,False
HATS-49,0.7545,0.0316,0.2082,202.5174,10,320.97,0.208,lower_boundary,high,False
HATS-46,0.9182,0.0316,0.0449,338.706,10,447.0,-0.06,lower_boundary,high,False
Qatar-5,1.0,8.4632,0.502,128.1301,10,370.02,0.377,ok,high,False
TOI-178,0.6455,5.5767,-0.1837,0.3368,10,62.8,-0.23,ok,ok,True
HD 2685,1.3,2.4214,-0.0857,0.5575,10,196.97,0.02,ok,ok,True
WASP-190,1.1636,5.1303,-0.1184,189.6762,10,543.5,-0.02,ok,high,False
TOI-6029,1.2727,5.1303,0.3388,8.692,10,594.12,0.37,ok,ok,True
HD 3167,0.8364,10.0,0.0122,1.2473,10,47.24,0.04,upper_boundary,ok,False
TOI-2406,0.1545,0.1677,-0.3796,1.436,6,55.39,-0.26,ok,ok,True
